SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1995.0,4.5,94.0,8706,47.272574894371,8.663651734281,4.0,1973.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,2000.0,2.5,57.0,8620,47.324228899377,8.797811735287,3.0,1996.0,0,1,1,1,1,0,0,0,1,0,0
FLAT,1850.0,4.5,104.0,8246,47.685355894371,8.654401736281,3.0,1970.0,1,1,0,1,0,0,0,1,0,0,0
FLAT,1426.0,4.5,103.0,8625,47.305234895373,8.757881733287,3.0,1996.0,0,0,1,1,0,0,0,0,0,0,0
FLAT,1700.0,3.0,67.0,8307,47.434587890378,8.685251737282,2.0,1966.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1924.0,3.5,69.0,8610,47.358524896374,8.714091734287,0.0,1968.0,1,1,0,1,0,0,1,1,0,0,0
FLAT,1800.0,2.5,46.0,8180,47.526534894372,8.545061734281,0.0,1996.0,1,1,1,1,0,0,1,1,0,0,0
FLAT,1490.0,2.0,35.0,8604,47.389648898376,8.694301734282,0.0,1996.0,1,0,0,1,0,0,1,0,0,0,0
FLAT,1850.0,2.0,68.0,8304,47.404754896374,8.601151734288,0.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1990.0,4.5,89.0,8180,47.523764898376,8.540401734281,0.0,1962.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1970.0,3.0,64.0,8304,47.417514893379,8.599831734281,2.0,1951.0,0,1,0,0,0,0,0,0,0,0,0
FLAT,1797.0,2.0,55.0,8049,47.407454898376,8.488321734287,11.0,1964.0,1,0,1,1,0,0,0,1,0,0,0
FLAT,1844.0,3.5,73.0,8902,47.385145893379,8.424611739282,2.0,1960.0,1,0,0,1,0,0,0,1,0,0,0
FLAT,1530.0,1.0,35.0,8057,47.399614897375,8.542341734285,0.0,1943.0,1,0,0,0,0,0,0,1,0,0,0
FLAT,1705.0,2.5,55.0,8105,47.436588898376,8.466641736282,3.0,1964.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1834.0,2.5,39.0,8708,47.251564893379,8.699791734288,2.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1827.0,2.5,83.0,8810,47.246335890378,8.607341734287,4.0,1995.0,0,0,1,1,0,0,0,0,0,0,0
